transcript	status	logFC_cat	logFC	avetpm	length	eff_length	tpm1	tpm2	isopct1	isopct2	gene	avetpm_cat
ENST00000470918	1	  Inf	Inf	1.23748	753	607.552	2.47496	0	0.0151329461197206	0	ENSG00000000971	[   0.617,   2.459)
ENST00000496761	1	[ 1.51, 2.40)	2.16270445632837	7.32798221012731	550	404.68	2.67565	11.9803144202546	0.0163600491665443	0.073252679889382	ENSG00000000971	[   2.459,3242.300]
ENST00000003583	0	[ 0.00, 1.51)	0	0.139261	2544	2398.55	0.139261	0.139261	0.0195566489250029	0.0210094711301545	ENSG00000001460	[   0.000,   0.192)
ENST00000337248	0	[ 0.00, 1.51)	0	3.97125	2646	2500.55	3.97125	3.97125	0.557689102070341	0.599118649339197	ENSG00000001460	[   2.459,3242.300]
ENST00000374409	0	[ 0.00, 1.51)	0	0.261118	2804	2658.55	0.261118	0.261118	0.0366692257990314	0.0393933052510299	ENSG00000001460	[   0.192,   0.617)
ENST00000435187	1	[ 1.51, 2.40)	2.05566983780351	0.23144635	772	626.552	0.373139	0.0897537	0.052400517181599	0.0135406019558566	ENSG00000001460	[   0.192,   0.617)
ENST00000438866	0	[ 0.00, 1.51)	0	0.203245	811	665.552	0.203245	0.203245	0.0285420262008905	0.0306623531343897	ENSG00000001460	[   0.192,   0.617)
ENST00000440416	0	[ 0.00, 1.51)	0	0	2500	2354.55	0	0	0	0	ENSG00000001460	[   0.000,   0.192)
ENST00000468303	0	[ 0.00, 1.51)	0	0.42035	6016	5870.55	0.42035	0.42035	0.059030434763681	0.0634156812715723	ENSG00000001460	[   0.192,   0.617)
ENST00000475760	0	[ 0.00, 1.51)	0	0.130752	455	309.913	0.130752	0.130752	0.0183617162036893	0.0197257693769968	ENSG00000001460	[   0.000,   0.192)
ENST00000483261	1	[ 3.38,32.14)	26.7196947996396	0.104515500945695	625	479.552	0.209031	1.89139e-09	0.0293545635995884	2.85342655882572e-10	ENSG00000001460	[   0.000,   0.192)
ENST00000483528	0	[ 0.00, 1.51)	0	0.965547	758	612.552	0.965547	0.965547	0.13559333696864	0.145666280015993	ENSG00000001460	[   0.617,   2.459)
ENST00000492753	0	[ 0.00, 1.51)	0	0	307	166.036	0	0	0	0	ENSG00000001460	[   0.000,   0.192)
ENST00000497384	0	[ 0.00, 1.51)	0	0.214705	1685	1539.55	0.214705	0.214705	0.0301513726559679	0.0323912545436254	ENSG00000001460	[   0.192,   0.617)
ENST00000498488	0	[ 0.00, 1.51)	0	0.232505	711	565.552	0.232505	0.232505	0.0326510556315681	0.0350766336958414	ENSG00000001460	[   0.192,   0.617)
ENST00000003912	0	[ 0.00, 1.51)	0	12.0035	5481	5335.55	12.0035	12.0035	0.601062408539968	0.601062408539968	ENSG00000001461	[   2.459,3242.300]
ENST00000339255	0	[ 0.00, 1.51)	0	4.53285	1676	1530.55	4.53285	4.53285	0.226977609743025	0.226977609743025	ENSG00000001461	[   2.459,3242.300]
ENST00000358028	0	[ 0.00, 1.51)	0	0.18774	1757	1611.55	0.18774	0.18774	0.00940087945843243	0.00940087945843243	ENSG00000001461	[   0.000,   0.192)
ENST00000374399	0	[ 0.00, 1.51)	0	1.72678	1711	1565.55	1.72678	1.72678	0.0864666593759026	0.0864666593759026	ENSG00000001461	[   0.617,   2.459)
ENST00000428131	0	[ 0.00, 1.51)	0	0	681	535.552	0	0	0	0	ENSG00000001461	[   0.000,   0.192)
ENST00000432012	0	[ 0.00, 1.51)	0	0.387429	2714	2568.55	0.387429	0.387429	0.0194000922962662	0.0194000922962662	ENSG00000001461	[   0.192,   0.617)
ENST00000475663	0	[ 0.00, 1.51)	0	0.876494	694	548.552	0.876494	0.876494	0.0438894984555197	0.0438894984555197	ENSG00000001461	[   0.617,   2.459)
ENST00000488155	0	[ 0.00, 1.51)	0	0.255679	931	785.552	0.255679	0.255679	0.012802852130886	0.012802852130886	ENSG00000001461	[   0.192,   0.617)
ENST00000354858	1	[ 0.00, 1.51)	1.21480972692767	57.4504096060005	1021	875.552	34.5972	80.3036192120011	0.280378253418821	0.650786436413089	ENSG00000004455	[   2.459,3242.300]
ENST00000373449	1	[ 3.38,32.14)	3.60030934846255	12.0375649733261	3586	3440.55	22.2413	1.83382994665216	0.180245131044247	0.014861492765584	ENSG00000004455	[   2.459,3242.300]
ENST00000466029	1	  Inf	Inf	0.989227032280968	223	92.0791	0	1.97845406456194	0	0.0160335372542068	ENSG00000004455	[   0.617,   2.459)
ENST00000467905	1	[ 0.00, 1.51)	0.483505913399732	13.0544995208186	880	734.552	10.8872	15.2217990416372	0.0882306695519113	0.123358578994442	ENSG00000004455	[   2.459,3242.300]
ENST00000469238	1	[ 0.00, 1.51)	0.670154997953529	1.12521075300026	423	278.088	1.38195	0.868471506000526	0.0111994244422132	0.00703815696057602	ENSG00000004455	[   0.617,   2.459)
ENST00000480134	1	[ 3.38,32.14)	4.2746900363013	8.69142655949963	811	665.552	16.5289	0.853953118999269	0.133951421298092	0.00692049888449266	ENSG00000004455	[   2.459,3242.300]
ENST00000482191	1	[ 2.40, 3.38)	2.62650807718575	8.94388294438248	599	453.552	15.3948	2.49296588876495	0.124760591485209	0.0202031789198148	ENSG00000004455	[   2.459,3242.300]
ENST00000487289	1	  Inf	Inf	0.721435	920	774.552	1.44287	0	0.01169312460287	0	ENSG00000004455	[   0.617,   2.459)
ENST00000491241	1	[ 0.00, 1.51)	1.36240479734309	11.8857517023963	596	450.552	6.65657	17.1149334047927	0.0539453328697155	0.1387006791132	ENSG00000004455	[   2.459,3242.300]
ENST00000548033	1	[ 3.38,32.14)	3.83157311332522	6.03936163624395	936	790.552	11.286	0.79272327248791	0.091462574083591	0.00642428770491867	ENSG00000004455	[   2.459,3242.300]
ENST00000548559	1	  Inf	Inf	0.1517695	530	384.68	0.303539	0	0.00245990238124748	0	ENSG00000004455	[   0.000,   0.192)
ENST00000550338	1	[ 0.00, 1.51)	1.44348946171453	1.7503939575355	886	740.552	2.55966	0.941127915071009	0.0207436729026054	0.0076269698435511	ENSG00000004455	[   0.617,   2.459)
ENST00000551979	1	[ 2.40, 3.38)	3.11315411429816	0.553800814515641	581	435.596	0.114745	0.992856629031282	0.000929901919477374	0.00804618314612423	ENSG00000004455	[   0.192,   0.617)
ENST00000356634	0	[ 0.00, 1.51)	0	16.982	3033	2887.55	16.982	16.982	0.67641904506376	0.592701444673997	ENSG00000004487	[   2.459,3242.300]
ENST00000400181	0	[ 0.00, 1.51)	0	5.47754	3059	2913.55	5.47754	5.47754	0.218178799676042	0.191175707882441	ENSG00000004487	[   2.459,3242.300]
ENST00000465864	0	[ 0.00, 1.51)	0	0	568	422.639	0	0	0	0	ENSG00000004487	[   0.000,   0.192)
ENST00000481879	0	[ 0.00, 1.51)	0	0	525	379.719	0	0	0	0	ENSG00000004487	[   0.000,   0.192)
ENST00000494920	1	[ 1.51, 2.40)	2.35597180855181	2.6338985	905	759.552	0.860837	4.40696	0.0342884549225976	0.153810597021583	ENSG00000004487	[   2.459,3242.300]
ENST00000542151	0	[ 0.00, 1.51)	0	0.302962	3058	2912.55	0.302962	0.302962	0.0120674400383116	0.0105739026664305	ENSG00000004487	[   0.192,   0.617)
ENST00000602503	0	[ 0.00, 1.51)	0	1.4824	2810	2664.55	1.4824	1.4824	0.0590462602992885	0.051738347755549	ENSG00000004487	[   0.617,   2.459)
ENST00000371274	0	[ 0.00, 1.51)	0	0.30334	2149	2003.55	0.30334	0.30334	0.0348215947151624	0.0361909172895444	ENSG00000006555	[   0.192,   0.617)
ENST00000371276	0	[ 0.00, 1.51)	0	7.95676	3345	3199.55	7.95676	7.95676	0.913387855099279	0.949305871473447	ENSG00000006555	[   2.459,3242.300]
ENST00000448308	0	[ 0.00, 1.51)	0	0	686	540.552	0	0	0	0	ENSG00000006555	[   0.000,   0.192)
ENST00000474654	0	[ 0.00, 1.51)	0	0	628	482.552	0	0	0	0	ENSG00000006555	[   0.000,   0.192)
ENST00000488771	1	[ 1.51, 2.40)	1.89196191321647	0.286361	2350	2204.55	0.451161	0.121561	0.0517905501855587	0.014503211237009	ENSG00000006555	[   0.192,   0.617)
ENST00000343210	0	[ 0.00, 1.51)	0	0	1866	1720.55	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000358039	0	[ 0.00, 1.51)	0	0.152782	4528	4382.55	0.152782	0.152782	0.00925503857587098	0.00925503857587098	ENSG00000007341	[   0.000,   0.192)
ENST00000360743	0	[ 0.00, 1.51)	0	0.524521	4206	4060.55	0.524521	0.524521	0.0317737828334125	0.0317737828334125	ENSG00000007341	[   0.192,   0.617)
ENST00000361846	0	[ 0.00, 1.51)	0	2.88972	4348	4202.55	2.88972	2.88972	0.175049875466128	0.175049875466128	ENSG00000007341	[   2.459,3242.300]
ENST00000369664	0	[ 0.00, 1.51)	0	0	862	716.552	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000369666	0	[ 0.00, 1.51)	0	0.0648674	1815	1669.55	0.0648674	0.0648674	0.00392945693417061	0.00392945693417061	ENSG00000007341	[   0.000,   0.192)
ENST00000369668	0	[ 0.00, 1.51)	0	0	1973	1827.55	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000369669	0	[ 0.00, 1.51)	0	0.130959	1743	1597.55	0.130959	0.130959	0.00793307193816999	0.00793307193816999	ENSG00000007341	[   0.000,   0.192)
ENST00000418497	0	[ 0.00, 1.51)	0	0	860	714.552	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000459630	0	[ 0.00, 1.51)	0	0.437197	765	619.552	0.437197	0.437197	0.0264839778262823	0.0264839778262823	ENSG00000007341	[   0.192,   0.617)
ENST00000463235	0	[ 0.00, 1.51)	0	0.0944021	2574	2428.55	0.0944021	0.0944021	0.00571857337345518	0.00571857337345518	ENSG00000007341	[   0.000,   0.192)
ENST00000466360	0	[ 0.00, 1.51)	0	0	329	186.687	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000467335	0	[ 0.00, 1.51)	0	0.290361	990	844.552	0.290361	0.290361	0.0175891286665214	0.0175891286665214	ENSG00000007341	[   0.192,   0.617)
ENST00000470519	0	[ 0.00, 1.51)	0	0.0627087	834	688.552	0.0627087	0.0627087	0.00379868988194107	0.00379868988194107	ENSG00000007341	[   0.000,   0.192)
ENST00000470683	0	[ 0.00, 1.51)	0	0.904176	752	606.552	0.904176	0.904176	0.0547720527246451	0.0547720527246451	ENSG00000007341	[   0.617,   2.459)
ENST00000473206	0	[ 0.00, 1.51)	0	0.477697	821	675.552	0.477697	0.477697	0.0289373366141158	0.0289373366141158	ENSG00000007341	[   0.192,   0.617)
ENST00000477332	0	[ 0.00, 1.51)	0	1.51796	848	702.552	1.51796	1.51796	0.0919530989032027	0.0919530989032027	ENSG00000007341	[   0.617,   2.459)
ENST00000477682	0	[ 0.00, 1.51)	0	2.94923	300	159.485	2.94923	2.94923	0.178654798465238	0.178654798465238	ENSG00000007341	[   2.459,3242.300]
ENST00000479436	0	[ 0.00, 1.51)	0	3.45215	572	426.596	3.45215	3.45215	0.209120062701712	0.209120062701712	ENSG00000007341	[   2.459,3242.300]
ENST00000480988	0	[ 0.00, 1.51)	0	0	1857	1711.55	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000485753	0	[ 0.00, 1.51)	0	0.520963	1023	877.552	0.520963	0.520963	0.0315582507206443	0.0315582507206443	ENSG00000007341	[   0.192,   0.617)
ENST00000490067	0	[ 0.00, 1.51)	0	0	1780	1634.55	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000490715	0	[ 0.00, 1.51)	0	3.69576e-06	4483	4337.55	3.69576e-06	3.69576e-06	2.23877167252431e-07	2.23877167252431e-07	ENSG00000007341	[   0.000,   0.192)
ENST00000492274	0	[ 0.00, 1.51)	0	0	582	436.596	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000495109	0	[ 0.00, 1.51)	0	1.30493	738	592.552	1.30493	1.30493	0.0790484316791986	0.0790484316791986	ENSG00000007341	[   0.617,   2.459)
ENST00000497235	0	[ 0.00, 1.51)	0	0	859	713.552	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000497457	0	[ 0.00, 1.51)	0	0.175033	1582	1436.55	0.175033	0.175033	0.0106029320669348	0.0106029320669348	ENSG00000007341	[   0.000,   0.192)
ENST00000498197	0	[ 0.00, 1.51)	0	0.55832	472	326.787	0.55832	0.55832	0.0338212167511898	0.0338212167511898	ENSG00000007341	[   0.192,   0.617)
ENST00000498383	0	[ 0.00, 1.51)	0	0	685	539.552	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000538187	0	[ 0.00, 1.51)	0	0	1793	1647.55	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000543570	0	[ 0.00, 1.51)	0	0	1262	1116.55	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000544629	0	[ 0.00, 1.51)	0	0	1790	1644.55	0	0	0	0	ENSG00000007341	[   0.000,   0.192)
ENST00000333360	0	[ 0.00, 1.51)	0	0.0371926	3857	3711.55	0.0371926	0.0371926	0.175020374603015	0.175020374603015	ENSG00000007908	[   0.000,   0.192)
ENST00000367774	0	[ 0.00, 1.51)	0	0	1518	1372.55	0	0	0	0	ENSG00000007908	[   0.000,   0.192)
ENST00000367775	0	[ 0.00, 1.51)	0	0	3389	3243.55	0	0	0	0	ENSG00000007908	[   0.000,   0.192)
ENST00000367776	0	[ 0.00, 1.51)	0	1.31469e-09	3576	3430.55	1.31469e-09	1.31469e-09	6.18664831947315e-09	6.18664831947315e-09	ENSG00000007908	[   0.000,   0.192)
ENST00000367777	0	[ 0.00, 1.51)	0	4.40598e-10	3576	3430.55	4.40598e-10	4.40598e-10	2.07335940507894e-09	2.07335940507894e-09	ENSG00000007908	[   0.000,   0.192)
ENST00000367779	0	[ 0.00, 1.51)	0	0	3497	3351.55	0	0	0	0	ENSG00000007908	[   0.000,   0.192)
ENST00000367780	0	[ 0.00, 1.51)	0	0	3500	3354.55	0	0	0	0	ENSG00000007908	[   0.000,   0.192)
ENST00000367781	0	[ 0.00, 1.51)	0	0.129272	3686	3540.55	0.129272	0.129272	0.608326222573332	0.608326222573332	ENSG00000007908	[   0.000,   0.192)
ENST00000367782	0	[ 0.00, 1.51)	0	0.0460398	3686	3540.55	0.0460398	0.0460398	0.216653394563646	0.216653394563646	ENSG00000007908	[   0.000,   0.192)
ENST00000461085	0	[ 0.00, 1.51)	0	0	556	410.68	0	0	0	0	ENSG00000007908	[   0.000,   0.192)
ENST00000294401	0	[ 0.00, 1.51)	0	1.18548	2210	2064.55	1.18548	1.18548	0.0316251422388444	0.0316251422388444	ENSG00000007923	[   0.617,   2.459)
ENST00000349363	0	[ 0.00, 1.51)	0	0	1357	1211.55	0	0	0	0	ENSG00000007923	[   0.000,   0.192)
ENST00000377573	0	[ 0.00, 1.51)	0	9.22682	1793	1647.55	9.22682	9.22682	0.246144595364084	0.246144595364084	ENSG00000007923	[   2.459,3242.300]
ENST00000377577	0	[ 0.00, 1.51)	0	16.4842	3311	3165.55	16.4842	16.4842	0.439750286545162	0.439750286545162	ENSG00000007923	[   2.459,3242.300]
ENST00000426784	0	[ 0.00, 1.51)	0	0.857828	975	829.552	0.857828	0.857828	0.0228843443301139	0.0228843443301139	ENSG00000007923	[   0.617,   2.459)
ENST00000451196	0	[ 0.00, 1.51)	0	0	1357	1211.55	0	0	0	0	ENSG00000007923	[   0.000,   0.192)
ENST00000460594	0	[ 0.00, 1.51)	0	0	581	435.596	0	0	0	0	ENSG00000007923	[   0.000,   0.192)
ENST00000465508	0	[ 0.00, 1.51)	0	0.110791	3014	2868.55	0.110791	0.110791	0.00295558013107249	0.00295558013107249	ENSG00000007923	[   0.000,   0.192)
ENST00000465911	0	[ 0.00, 1.51)	0	0	745	599.552	0	0	0	0	ENSG00000007923	[   0.000,   0.192)
ENST00000469318	0	[ 0.00, 1.51)	0	0	355	211.62	0	0	0	0	ENSG00000007923	[   0.000,   0.192)
ENST00000472414	0	[ 0.00, 1.51)	0	0.232626	725	579.552	0.232626	0.232626	0.00620578190982001	0.00620578190982001	ENSG00000007923	[   0.192,   0.617)
ENST00000473993	0	[ 0.00, 1.51)	0	0	755	609.552	0	0	0	0	ENSG00000007923	[   0.000,   0.192)
ENST00000485073	0	[ 0.00, 1.51)	0	9.38762	613	467.552	9.38762	9.38762	0.250434269480903	0.250434269480903	ENSG00000007923	[   2.459,3242.300]
ENST00000542246	0	[ 0.00, 1.51)	0	0	1961	1815.55	0	0	0	0	ENSG00000007923	[   0.000,   0.192)
ENST00000367755	0	[ 0.00, 1.51)	0	0	2087	1941.55	0	0	0	0	ENSG00000007933	[   0.000,   0.192)
ENST00000392085	1	[ 1.51, 2.40)	1.63223216950838	0.726094586099573	2066	1920.55	1.09799	0.354199172199146	0.876346187352549	0.28269938170671	ENSG00000007933	[   0.617,   2.459)
ENST00000472784	0	[ 0.00, 1.51)	0	0	582	436.596	0	0	0	0	ENSG00000007933	[   0.000,   0.192)
ENST00000478457	0	[ 0.00, 1.51)	0	0	713	567.552	0	0	0	0	ENSG00000007933	[   0.000,   0.192)
ENST00000479749	0	[ 0.00, 1.51)	0	0	723	577.552	0	0	0	0	ENSG00000007933	[   0.000,   0.192)
ENST00000530212	1	  Inf	Inf	0.392397307660991	828	682.552	0	0.784794615321982	0	0.626373435998715	ENSG00000007933	[   0.192,   0.617)
ENST00000534514	1	  Inf	Inf	0.03559835	1142	996.552	0.0711967	0	0.0568247038653205	0	ENSG00000007933	[   0.000,   0.192)
ENST00000538429	1	  Inf	Inf	0.0569621562394362	1508	1362.55	0	0.113924312478872	0	0.0909271822945748	ENSG00000007933	[   0.000,   0.192)
ENST00000542847	1	  Inf	Inf	0.0418657	1822	1676.55	0.0837314	0	0.0668291087821303	0	ENSG00000007933	[   0.000,   0.192)
ENST00000361729	1	  Inf	Inf	0.82075	5191	5045.55	1.6415	0	0.944319439651257	0	ENSG00000007968	[   0.617,   2.459)
ENST00000487237	1	[ 3.38,32.14)	4.16668245976113	0.9175389	550	404.68	0.0967889	1.7382889	0.055680560348743	1	ENSG00000007968	[   0.617,   2.459)
ENST00000009105	0	[ 0.00, 1.51)	0	0	2612	2466.55	0	0	0	0	ENSG00000008118	[   0.000,   0.192)
ENST00000361322	0	[ 0.00, 1.51)	0	0.188689	2440	2294.55	0.188689	0.188689	0.595488916380529	0.595488916380529	ENSG00000008118	[   0.000,   0.192)
ENST00000423146	0	[ 0.00, 1.51)	0	0	808	662.552	0	0	0	0	ENSG00000008118	[   0.000,   0.192)
ENST00000494990	0	[ 0.00, 1.51)	0	0.128175	573	427.596	0.128175	0.128175	0.404511083619471	0.404511083619471	ENSG00000008118	[   0.000,   0.192)
ENST00000356200	0	[ 0.00, 1.51)	0	0	2653	2507.55	0	0	0	0	ENSG00000008128	[   0.000,   0.192)
ENST00000356937	0	[ 0.00, 1.51)	0	0	2275	2129.55	0	0	0	0	ENSG00000008128	[   0.000,   0.192)
ENST00000357760	0	[ 0.00, 1.51)	0	0.339991	2446	2300.55	0.339991	0.339991	0.0111540114418505	0.00932744335417158	ENSG00000008128	[   0.192,   0.617)
ENST00000358779	0	[ 0.00, 1.51)	0	0	2419	2273.55	0	0	0	0	ENSG00000008128	[   0.000,   0.192)
ENST00000378633	0	[ 0.00, 1.51)	0	1.4023	2458	2312.55	1.4023	1.4023	0.0460049537926207	0.0384712354608057	ENSG00000008128	[   0.617,   2.459)
ENST00000378635	0	[ 0.00, 1.51)	0	3.6941	1255	1109.55	3.6941	3.6941	0.12119154232712	0.101345354714228	ENSG00000008128	[   2.459,3242.300]
ENST00000378638	0	[ 0.00, 1.51)	0	4.17309	2429	2283.55	4.17309	4.17309	0.136905663996611	0.11448614988885	ENSG00000008128	[   2.459,3242.300]
ENST00000401096	1	[ 2.40, 3.38)	2.80977576794318	6.4062	450	304.913	1.5992	11.2132	0.0524646096449826	0.307627224894179	ENSG00000008128	[   2.459,3242.300]
ENST00000404249	0	[ 0.00, 1.51)	0	6.49163	2449	2303.55	6.49163	6.49163	0.21296950594651	0.178093864547123	ENSG00000008128	[   2.459,3242.300]
ENST00000460465	1	[ 3.38,32.14)	23.2506480991133	0.10524051054485	2333	2187.55	2.10897e-08	0.210481	6.91885241389313e-10	0.00577441639522631	ENSG00000008128	[   0.000,   0.192)
ENST00000463652	0	[ 0.00, 1.51)	0	0	1028	882.552	0	0	0	0	ENSG00000008128	[   0.000,   0.192)
ENST00000464748	0	[ 0.00, 1.51)	0	0	381	236.742	0	0	0	0	ENSG00000008128	[   0.000,   0.192)
ENST00000468397	0	[ 0.00, 1.51)	0	0.258885	836	690.552	0.258885	0.258885	0.00849318438465565	0.00710235027616822	ENSG00000008128	[   0.192,   0.617)
ENST00000468800	0	[ 0.00, 1.51)	0	0.687357	897	751.552	0.687357	0.687357	0.0225499729188008	0.0188572152839143	ENSG00000008128	[   0.617,   2.459)
ENST00000474916	0	[ 0.00, 1.51)	0	0.244553	752	606.552	0.244553	0.244553	0.00802299755034356	0.00670916069717352	ENSG00000008128	[   0.192,   0.617)
ENST00000478901	0	[ 0.00, 1.51)	0	1.43052	931	785.552	1.43052	1.43052	0.0469307612489623	0.0392454337526862	ENSG00000008128	[   0.617,   2.459)
ENST00000479362	0	[ 0.00, 1.51)	0	3.57337	700	554.552	3.57337	3.57337	0.117230779244054	0.0980332016391495	ENSG00000008128	[   2.459,3242.300]
ENST00000487462	0	[ 0.00, 1.51)	0	0.759753	437	292.031	0.759753	0.759753	0.0249250528836946	0.0208433548848702	ENSG00000008128	[   0.617,   2.459)
ENST00000489300	0	[ 0.00, 1.51)	0	0	577	431.596	0	0	0	0	ENSG00000008128	[   0.000,   0.192)
ENST00000491311	0	[ 0.00, 1.51)	0	0	626	480.552	0	0	0	0	ENSG00000008128	[   0.000,   0.192)
ENST00000492390	0	[ 0.00, 1.51)	0	0.83804	976	830.552	0.83804	0.83804	0.0274933976156086	0.0229911104368349	ENSG00000008128	[   0.617,   2.459)
ENST00000495016	0	[ 0.00, 1.51)	0	0	286	146.58	0	0	0	0	ENSG00000008128	[   0.000,   0.192)
ENST00000498810	0	[ 0.00, 1.51)	0	0.254151	574	428.596	0.254151	0.254151	0.00833787706720984	0.00697247590643888	ENSG00000008128	[   0.192,   0.617)
ENST00000509982	1	[ 2.40, 3.38)	2.42898511579996	2.8068745	2306	2160.55	4.73456	0.879189	0.155325689245091	0.0241200078681811	ENSG00000008128	[   2.459,3242.300]
ENST00000341426	1	[ 2.40, 3.38)	3.08489477124092	9.56835	3235	3089.55	17.1191	2.0176	0.3621186927141	0.063210214387173	ENSG00000008130	[   2.459,3242.300]
ENST00000341991	0	[ 0.00, 1.51)	0	13.8014	3098	2952.55	13.8014	13.8014	0.291939700429601	0.432389697087197	ENSG00000008130	[   2.459,3242.300]
ENST00000342348	0	[ 0.00, 1.51)	0	2.19982	1789	1643.55	2.19982	2.19982	0.0465325830567221	0.0689190591857608	ENSG00000008130	[   0.617,   2.459)
